Downtime_Minutes,Users_Affected,Transactions,Financial_Loss_INR,Data_Risk_Transactions_Lost
41.17,22085,1286,63808,995
31.46,4467,248,18998,195
56.76,45547,2972,127334,1568
32.15,10886,874,35258,353
25.2,45880,2553,110850,2008
2.95,42806,2600,98865,2198
13.75,44561,4273,113037,1474
9.24,31008,2014,73491,1304
8.39,11151,1899,33012,1638
108.37,36846,2140,140798,1468
14.98,15711,2925,48946,2317
66.78,4590,829,40611,363
29.92,31413,2552,83769,922
47.51,6477,393,31295,206
20.95,10003,658,28091,353
25.8,14667,1963,45703,1514
20.35,22985,3221,66664,1751
6.52,28322,2756,71255,1218
38.45,48656,4599,132229,3825
9.89,26706,3464,72286,2665
0.74,17540,1681,43516,1177
31.11,2360,448,15635,190
5.85,30367,3261,77746,1379
84.63,27102,2248,104373,1337
92.33,16933,1217,84308,752
73.91,49820,7211,167462,3271
13.87,3598,356,11558,133
0.47,46829,3667,112008,1899
79.07,10618,970,61238,540
16.77,12601,1211,34690,401
102.03,22354,3216,112314,2054
99.41,34176,2604,130931,784
57.52,16002,2559,66612,999
10.46,33585,3215,84937,1247
14.59,25645,3160,69876,2251
57.14,3445,510,31037,301
11.43,15470,2034,43043,1630
5.57,46821,6992,129259,3208
24.41,28331,2787,76627,1188
82.54,41963,8162,162229,6380
35.72,9742,1157,35945,655
25.32,17939,1763,51064,818
3.07,23781,2246,59060,1237
28.64,7135,402,23941,223
138.32,33399,5100,173634,3280
4.53,35135,3140,86451,1012
21.91,49584,9611,152352,4313
62.96,23683,1931,81998,1120
40.5,22205,2873,71662,1796
35.82,16230,2602,56190,1028
36.37,13836,2497,51123,1039
13.36,42381,3113,102769,2292
10.43,13915,2752,43273,2122
49.72,24496,4556,89302,1572
49.84,24412,4746,90146,4243
60.54,12344,2196,59219,1229
73.34,42768,7768,155778,5060
21.48,11818,1652,36874,1084
20.89,16884,2985,53465,1515
48.03,30783,4004,98228,2510
31.49,44690,5842,127426,3797
36.32,44097,5926,128766,4482
47.66,31528,6288,110946,4383
66.22,36859,2420,112761,1374
12.37,26590,4542,78066,1884
14.13,40801,3712,102817,1169
2.96,47451,4943,119871,3416
25.9,41101,2551,101548,1496
1.1,45956,4721,115574,4151
18.8,16510,3279,53490,1177
23.47,35486,3887,96091,1335
10.13,9462,1423,27650,581
26.81,39507,2690,99404,1415
0.93,24111,4541,70971,1839
1.14,7142,1243,20560,718
51.88,25386,2740,83156,1380
13.4,11491,1175,31308,1057
4.08,27099,3112,70169,2738
22.16,2118,233,10616,120
44.09,13052,1157,46526,896
7.29,16340,3245,49889,1443
29.26,21362,3665,68961,1226
2.68,19382,1748,47722,566
1.59,22559,4449,67463,1412
22.74,34915,1827,84385,1354
23.34,18042,2087,52155,1054
30.44,1822,246,13269,195
38.85,36920,2054,96217,1693
111.71,1751,129,63179,62
21.79,21706,1925,58122,911
11.7,34646,5475,98668,2654
47.57,783,149,18715,87
9.48,42339,6083,116551,1883
17.34,18494,2485,53023,761
2.45,46805,6108,124341,4527
0.77,19066,1956,47945,1535
98.62,26569,4627,125242,1954
54.23,8605,1128,42819,740
35.72,40311,3406,108325,1463
15.78,5592,394,16286,291
5.71,16927,3348,51276,1849
5.1,27592,1451,63015,1151
8.64,3366,639,11196,555
23.9,6009,497,20346,314
37.62,12969,1927,47108,1619
32.38,39882,3797,107962,1216
9.85,21963,3930,65122,2270
92.94,44155,5807,162146,3496
40.17,7919,563,31383,309
24.25,29236,2645,77666,1293
28.38,14937,1464,44753,1074
16.32,48054,8788,143344,5550
8.54,10156,1675,29934,585
13.2,815,142,4738,123
42.55,17375,1004,53645,835
0.43,20291,2776,54476,1421
3.7,16984,3394,51294,1519
1.41,45562,7644,129427,5175
1.25,8994,612,21117,199
58.03,18817,2856,74014,1706
36.49,18678,3022,63485,2126
19.28,23421,2977,65960,1619
3.09,43069,2662,99719,2351
20.3,25059,1383,61604,1011
19.24,10615,2023,35565,1740
5.71,9177,813,23100,686
17.07,21543,2301,58116,872
15.25,10543,1784,32983,1250
28.7,37308,5722,110914,3765
30.24,1883,367,13917,122
1.39,13213,844,30728,414
14.08,5485,855,17887,530
29.49,36985,2305,93503,1449
20.98,7082,354,20739,279
58.24,35451,2411,105180,1573
32.25,42789,6097,125219,3535
5.34,13507,2045,37855,1536
2.2,15416,1784,39914,1146
30.85,46624,2653,115081,2202
0.81,24938,3618,68002,3050
26.44,27307,1716,69991,1137
84.52,48216,3435,152457,2193
25.7,28502,3616,81599,2606
14.74,2530,255,9164,187
30.92,39928,4779,112349,3518
18.39,3036,441,12219,296
23.66,11964,885,34108,670
85.14,25215,4638,112902,1792
14.64,9407,1259,27909,998
97.47,6809,363,63549,176
70.73,29954,4321,111253,3592
6.54,41943,5011,109776,1899
2.16,20807,3230,57922,975
3.19,39484,6617,112337,2047
0.55,35287,6733,104259,2868
2.98,1499,299,4749,110
34.47,42636,5646,123619,3570
2.22,24288,3260,65040,1855
11.52,14345,765,34471,507
55.91,45846,8241,153797,3424
0.71,23471,1274,53341,958
50.54,47304,6854,146840,4566
9.93,32386,2098,76827,907
3.77,21793,2024,54072,1091
35.79,34403,2444,91733,1786
29.74,21237,1499,58079,1061
62.98,41149,2517,119874,1604
39.85,15465,1510,51057,1339
48.81,13550,1538,51840,583
9.94,4290,513,12711,304
5.86,42961,4981,111536,3359
41.66,43739,5622,129033,5039
49.33,24037,4301,86900,2690
139.71,7552,1093,103137,618
15.96,4060,213,12373,181
13.96,39702,3015,97086,1820
44.94,30285,3099,91127,2676
12.5,10664,2051,33793,1538
80.1,47610,2938,145756,1177
58.65,5191,812,36897,325
16.81,49770,2735,116661,1342
41.69,30619,3196,90678,1088
42.14,3810,630,24447,394
3.27,39495,4012,99344,3273
69.85,8088,926,49997,500
21.11,35854,6661,109862,4589
52.54,28214,1690,83919,1502
11.57,23174,2992,63276,1245
67.76,21298,2234,81657,1150
14.79,10609,2064,34381,650
0.33,25280,4273,71934,1876
70.74,48168,3290,142532,2525
2.87,45533,8610,134359,5974
11.54,16660,1360,42080,1047
89.91,43381,2720,142988,1510
90.24,42774,5613,156473,4161
25.56,39038,6265,115862,4133
29.98,35491,5586,107118,2776
17.85,28831,3751,80187,2053
10.41,19262,2386,52133,1490
11.95,48444,9467,146289,8272
33.49,25336,4385,82287,3765
41.88,37233,5763,116829,5139
47.05,11479,910,43642,281
46.76,4440,767,28705,560
2.87,4855,788,13892,659
20.46,48831,9707,150824,7217
1.78,41966,2935,98725,1613
23.92,48859,7685,141993,5647
17.48,20005,3938,63353,2230
65.6,18359,2191,74238,1596
12.97,31355,5017,90129,3854
3.74,36826,7229,110157,5825
4.63,35004,4624,93626,3407
43.0,43656,6760,135211,2677
28.89,41913,2221,102693,1913
3.2,31714,4057,83998,1736
2.64,606,53,1690,27
36.22,8699,606,31325,337
2.27,21874,3418,61008,2486
51.76,8815,492,38706,354
36.75,22097,4104,75853,3599
2.55,35918,4585,94964,1894
2.66,14883,2191,40937,1249
129.46,31362,2760,150177,1165
14.07,23576,1823,58904,1282
13.89,2497,216,8662,92
50.27,40780,3459,116674,2838
88.26,27575,4954,121382,4407
128.06,34177,5745,169540,2815
42.0,40070,7128,129388,5300
14.16,7800,1249,24509,773
2.62,4818,705,13372,363
45.04,27211,3515,87109,1457
24.52,38818,3486,101137,2550
16.56,10333,1609,32080,635
71.05,14271,1005,63509,470
3.54,10826,1371,28839,1167
20.36,26868,2130,68977,1288
0.34,17239,2167,45323,1760
18.97,245,23,4736,17
1.74,44882,2604,102898,1369
3.79,20058,2518,53075,1084
3.75,26303,2032,63129,731
31.43,21407,1587,59557,1390
41.12,34726,3738,101325,1849
26.27,37590,3919,101505,2758
98.24,3698,665,59408,490
14.09,13683,1843,39226,771
10.09,47737,8506,139607,6092
60.89,17113,1232,64139,376
7.59,48084,4981,122119,2744
99.09,44226,5895,167243,3007
0.37,36386,2655,86058,2282
105.08,37220,2575,141169,2295
1.32,44974,6710,123574,3172
66.53,40297,5966,137557,3973
22.5,9196,782,27639,584
148.7,5655,475,104353,196
2.3,32819,5310,92362,3780
24.21,8097,546,24881,248
104.51,10909,2056,85516,825
22.21,27465,5261,86469,4263
29.78,49359,8916,151423,5362
35.7,25718,2098,72589,1003
18.18,26064,1368,62845,742
29.63,9968,1898,37490,1039
26.33,21982,2233,61886,1701
69.43,20739,2002,80412,1665
1.4,37063,3307,90743,1935
9.9,41324,3581,102109,1768
90.12,36689,5876,145534,4326
66.29,49928,9295,173317,7837
18.25,29570,4965,87861,1829
29.04,44546,6731,130570,5237
9.75,5278,491,14532,311
6.25,10998,1452,30037,1191
18.69,5666,484,17792,294
13.08,20453,1364,50090,1115
26.29,38288,2605,96339,1648
2.43,33475,4705,90664,1820
109.95,5774,322,70802,97
128.52,22372,4384,139509,2946
35.94,21816,4348,76143,2849
23.04,23840,1726,61840,735
11.11,23270,2654,61661,2150
50.43,35262,5825,117553,4780
34.63,11151,2155,43266,1686
5.32,8170,1500,24454,1292
72.55,29572,2608,103081,1575
51.87,42907,2693,117957,1942
89.75,34889,3255,128567,2742
38.81,21082,2436,66431,1397
28.51,31618,3287,87283,2205
16.25,19499,3238,58463,1967
80.97,27413,2430,103406,2162
60.31,16210,2898,70329,1630
1.39,34916,2927,84548,1434
0.8,22453,2339,56636,1585
14.17,28630,3354,76697,1571
49.91,993,93,20080,75
130.93,45911,7573,204593,6326
4.89,28824,3211,74243,1628
27.05,26985,4939,85699,2543
14.38,44660,8688,135487,3057
105.11,13713,2454,93578,1112
55.38,14416,1850,58686,630
54.67,6187,782,36492,589
18.97,35801,2949,90478,1203
16.08,18765,2605,53777,904
9.58,41132,7934,123416,3162
1.74,34248,2126,79240,1119
60.01,29722,4840,106889,2678
50.28,30398,5484,106044,4601
245.17,16967,3359,242675,1571
170.85,42089,4217,216917,3081
24.32,44841,4633,118843,3877
43.96,13264,1120,46700,911
86.89,20263,3411,98074,1430
56.84,6201,440,36030,205
8.52,37822,3410,93938,1134
17.96,38821,3660,99749,2159
4.15,39148,4159,99513,2259
92.41,33646,3810,130756,2389
27.96,3575,478,16930,274
7.79,4823,927,15367,687
33.41,14990,1305,46162,915
28.88,23370,3900,74000,2172
13.3,6813,1031,21206,332
3.62,27953,1884,65669,953
33.4,8701,1492,34514,737
22.04,17543,1115,45833,394
44.39,18084,2908,65497,1403
22.03,12835,2019,40934,1801
57.35,18717,2871,73506,2275
24.08,26328,2409,70610,1881
24.69,42357,5760,119649,4642
62.78,14074,2311,64576,1892
15.5,49603,7224,138377,3577
4.32,46592,7950,133382,3922
0.88,44282,6783,122520,3404
42.21,10723,977,40043,772
29.05,15495,1130,44469,879
36.53,6569,951,28932,294
7.18,25140,4122,71852,3584
4.4,43573,3108,103147,1464
0.44,3266,248,7786,167
12.95,21737,1126,51434,770
26.74,2309,299,13027,110
14.94,8847,1161,26386,832
17.26,33167,4146,90649,2571
70.35,20350,1982,80114,1321
12.84,25031,2857,66648,1623
21.65,46419,7656,136153,5991
45.93,33431,2583,95338,1759
15.15,12301,986,32481,409
29.19,42082,6314,123620,4745
59.49,31405,5654,114024,3401
89.59,17674,1786,86674,575
4.77,30959,5879,91834,3156
78.35,10196,598,58057,323
20.33,10328,700,28737,546
8.96,9318,1108,25517,487
18.44,24931,3952,73580,2258
117.41,18902,1996,111393,663
20.35,47481,6325,131178,5242
11.96,19047,1033,45326,584
30.1,19435,2318,58718,1886
8.24,46961,4056,115384,2864
2.37,30007,3824,79316,1881
4.14,16753,2159,44722,1570
4.11,39487,6435,111565,3740
4.94,22131,2898,59301,1462
4.48,9219,1310,25462,917
30.72,4655,602,20834,460
6.02,46195,9172,138988,6541
12.72,1142,192,5513,110
68.13,38312,6258,136031,2851
19.27,4288,617,15891,485
33.04,13160,1701,44320,864
5.67,10333,1051,26596,701
6.41,3188,534,9856,197
1.25,1746,136,4242,101
5.55,13227,733,30772,638
9.8,32715,5061,92268,2882
5.84,587,42,2090,26
2.79,15553,2886,45768,2423
3.86,34615,5732,98268,4454
18.53,17011,2387,49944,2094
6.93,17651,1713,44779,787
13.59,16378,2386,47190,1388
21.0,20956,2546,59453,1459
35.17,12031,1126,40122,657
1.2,22288,4273,66006,3622
48.19,583,43,18110,18
29.66,551,89,9622,74
2.56,4169,708,12082,455
62.04,13486,2599,64402,1616
76.1,7307,967,52642,531
1.89,37265,4853,98924,3027
9.73,38539,7247,114829,5666
49.23,18257,3106,69313,1849
41.38,22106,3637,75706,2784
6.12,9290,1564,27156,860
7.05,40280,4993,106460,2045
13.88,18549,1042,44894,571
19.88,41457,3305,103870,2425
28.89,29778,4360,89120,3536
13.81,15029,1644,40843,1254
18.63,39200,5527,110054,2899
41.29,48847,6484,143378,4198
1.12,8013,927,20720,478
8.73,10095,860,25779,621
37.48,26827,4234,86298,2378
67.67,2046,381,33832,289
21.5,36283,6004,107571,1847
22.79,1494,101,8931,50
3.4,47952,6266,127547,5181
17.79,2521,441,11000,217
22.82,20403,2828,60395,1518
8.33,40213,4662,104938,3610
9.41,19567,1813,49642,646
14.21,40898,4071,104829,1983
0.61,24604,2123,59846,1623
11.66,11080,879,28546,768
7.13,1944,268,6179,206
11.9,34672,4382,93307,1767
3.83,41949,6721,117877,5383
66.36,18987,1826,74134,1069
27.01,18377,2189,54718,1685
34.1,37212,5658,112669,2509
46.7,23075,4487,84542,2264
20.7,19549,2000,53807,1681
2.73,44701,4234,110797,3583
23.11,19559,2296,56152,1081
26.52,1359,215,10620,75
41.05,18704,3632,68716,3114
16.95,13959,1821,40512,874
4.09,43898,7544,125930,2806
10.01,25462,3046,67738,1550
13.53,28043,1569,66420,736
31.15,21419,3943,71244,1373
25.37,35315,3301,93525,2938
13.21,35997,2548,87133,1213
129.19,7797,1554,96780,720
27.92,23175,2366,65558,1305
8.12,31460,2217,75162,1216
3.22,28260,2733,70473,1531
4.98,28835,3664,76545,3092
8.47,31393,1983,73933,666
5.25,4049,416,10780,359
6.19,10759,1617,30373,1131
10.07,8110,1519,25412,1091
5.71,26869,2945,69145,1162
68.12,23923,3222,92068,1602
2.51,16500,2399,45193,794
22.3,40827,2474,99290,1711
15.85,39109,3963,101187,1996
121.16,14887,2272,107815,1433
3.56,8006,1283,22763,964
15.22,46053,4761,118879,3009
104.67,13403,683,83765,234
60.19,1366,69,26423,23
50.96,33346,4358,106671,3574
8.95,4077,541,12197,247
5.62,6168,822,17112,425
33.14,44604,7059,134040,3042
79.51,31327,5895,127578,4240
24.41,12840,2549,44454,1355
25.43,22897,3552,69966,2038
9.85,7891,1002,22338,706
44.02,585,41,15980,27
6.21,45148,4859,115365,3715
11.73,30795,4184,84519,3135
16.62,37541,7507,116006,4233
21.25,437,30,5923,12
8.33,25536,4314,73843,1871
3.66,15192,3035,45909,2197
28.3,34871,5955,107042,2720
10.22,1571,259,6069,146
26.11,44488,3950,115398,1440
5.03,27796,1403,63171,523
19.68,6589,552,20304,248
22.82,7956,1340,28061,470
1.6,28711,1897,67007,881
12.31,9465,893,25554,572
4.33,34473,4632,92556,3459
1.96,5764,789,15610,252
138.04,23423,3078,143324,2032
11.67,26555,5234,81274,2710
49.8,5479,284,29950,123
8.82,44453,5473,117579,1746
34.32,2224,279,15897,138
42.84,46289,4351,128353,3366
27.16,31636,4073,90715,2517
19.14,5091,768,18207,587
15.92,6894,1040,22164,569
12.87,29318,1852,70204,1492
79.58,31213,5317,124504,2074
53.27,36174,6858,126076,5431
100.6,28077,1924,116221,1126
3.98,28459,3201,73320,2393
39.38,49402,6262,142468,2781
83.58,48773,3424,152873,2025
6.0,18143,2277,48405,1684
2.06,22623,1833,54559,1081
40.54,9170,1745,39971,1003
25.63,7299,855,25361,672
55.32,18803,3746,76910,1488
4.52,19367,1103,44728,645
47.58,14233,984,49796,780
6.76,28671,3339,74914,2695
5.36,27091,4907,79337,1820
5.38,11679,1556,31762,1260
50.55,49841,7967,157488,2448
32.83,33455,3798,95303,3089
22.21,19103,1071,48794,491
13.33,21971,3233,62541,2091
62.92,6323,917,42183,280
14.95,14297,868,35824,641
50.88,9487,717,40706,400
17.35,37221,4519,100649,3649
14.19,27002,3159,72472,2000
18.63,14939,2433,46065,1948
10.76,35473,3835,91885,2557
41.3,35406,5293,110549,3956
20.96,13996,2178,43679,1630
7.93,41625,6108,114905,2736
68.95,16298,2272,72582,1468
14.53,34624,5915,101592,4875
23.53,28751,4271,84563,3533
71.08,32736,5732,124098,3042
29.36,34228,4980,101311,2464
3.73,27244,2011,64903,1392
84.32,18857,1818,85516,1394
29.64,34063,3391,93150,1089
12.23,18615,1192,45329,424
4.5,40877,6288,113671,4824
47.4,22127,3081,75975,1731
29.03,13892,1923,45220,1347
22.87,15877,1933,46888,1531
67.3,19894,2615,80467,1971
46.62,32644,1671,89558,1313
4.93,18851,1214,44320,738
11.21,31123,4746,87851,1873
8.57,19827,1768,49748,1032
40.87,47893,3169,124695,2782
1.02,23765,2359,59376,1140
25.31,31226,2753,82584,1518
43.12,19581,1065,58645,808
62.81,25936,2894,91231,1000
12.56,34201,1848,79867,1393
51.65,23649,1183,71775,549
3.52,45704,7718,130327,3553
56.21,3436,334,29614,216
4.09,8257,1115,22502,505
15.19,36255,3431,92624,2349
47.88,37581,7121,127332,6019
4.87,31667,5046,89101,2738
7.81,37969,4001,97034,3465
38.43,2531,206,18004,178
38.19,33884,2394,91539,1016
30.75,17125,2814,56843,1573
35.52,20546,2423,63791,2166
23.47,8607,729,26545,274
8.7,33308,6260,99199,3663
12.73,17622,1912,47073,1069
6.01,47502,6247,126976,4910
71.73,25590,4572,104412,1816
26.27,38111,6669,116298,2887
15.37,35171,5124,98974,2076
18.6,47854,8771,143572,3508
88.28,30513,5883,131917,2674
4.99,45202,8600,133962,5305
26.47,14140,1447,42325,1047
21.15,38818,4253,103764,2246
28.36,7146,615,24918,349
0.55,39474,6928,113608,5372
61.7,36289,2477,109195,1523
80.7,46302,4781,152756,3126
24.98,18562,955,48142,583
35.79,38971,5424,115765,4197
76.72,20634,3069,90215,1258
36.85,35068,3063,96636,2722
4.97,21035,3376,59503,2794
25.76,41095,4406,110757,2379
28.0,9109,881,30029,483
16.56,47089,9108,143086,7371
40.0,46976,6496,139083,3685
81.71,2046,179,41917,108
77.94,36824,7272,144409,5436
17.98,45411,4910,119184,2616
3.61,40583,5972,111368,3418
125.68,3425,543,80009,174
54.77,8799,997,42850,378
3.99,3845,501,10594,288
76.09,45176,3883,142952,1271
61.18,44937,5386,140732,2607
21.95,30894,2984,81848,1678
26.84,24644,3255,72516,1174
15.27,21298,3204,61600,1086
1.69,13589,1931,36942,598
12.25,46216,7695,133050,4549
48.71,22574,1269,68493,492
0.14,18520,1144,42762,815
12.17,2777,224,8797,133
15.23,34612,6848,106436,2132
23.13,11275,1917,37695,643
75.72,43418,8189,160724,6966
12.76,42291,3840,106059,1438
12.78,1277,173,5704,130
40.13,861,114,15000,51
18.06,37646,5098,104618,2513
7.63,6558,1033,19335,325
18.07,20210,2204,55280,1396
4.55,42603,6457,117977,3746
5.82,28353,4770,81258,3563
20.7,18417,1719,50136,1449
16.29,28533,5474,87722,3441
73.9,7279,929,50966,809
13.5,14949,2390,44328,929
26.07,4544,724,19362,366
30.01,3064,412,16408,328
0.4,42090,4141,104897,2617
32.68,12911,1937,44847,1216
5.88,10167,641,24252,369
97.38,40092,7906,167761,2460
4.83,10572,820,25774,285
16.07,15226,1390,40621,491
2.68,3201,618,9710,255
173.04,27090,2112,178554,753
20.93,36765,2776,92196,1010
27.14,3778,644,17847,439
2.08,34711,3043,84787,1128
41.58,30829,1979,84960,1145
7.07,29135,2447,71444,826
68.5,16058,2942,75172,1358
6.89,24350,2241,60808,1915
6.35,7183,1108,20705,353
1.12,21856,2388,55711,1972
19.16,1566,139,8021,105
24.96,49987,3579,124104,3051
2.04,439,85,1448,65
44.82,44647,5722,132907,4553
18.12,21203,1425,53386,519
22.29,17188,1371,46494,1098
17.44,3824,424,13408,248
15.36,41057,5404,112144,2761
24.6,21743,1680,57988,659
5.06,26144,2396,64837,719
6.02,10434,1748,30347,1198
59.37,33420,3763,108526,2768
87.63,36359,1825,122856,972
14.02,889,51,4657,20
9.47,34041,3945,89264,1525
30.98,652,38,10117,15
15.76,19906,1514,50511,505
0.77,37079,5902,103701,3044
5.09,8923,1089,23865,729
37.76,32080,3925,95386,2230
32.27,49521,6919,142802,2596
0.82,960,161,2762,127
7.53,390,28,1953,13
7.88,42517,3229,102285,2136
33.43,14444,985,43478,440
0.6,5970,1137,17648,747
3.3,33497,4575,90168,1728
48.27,39875,2547,109253,1765
5.9,16286,1353,40053,871
31.73,38811,6164,117379,3769
8.16,49726,2702,114127,1162
3.14,32365,5141,90713,3174
8.36,21116,3942,63150,3304
38.43,4180,244,21493,91
58.08,13072,1019,53367,735
53.2,1860,93,23585,34
15.18,11374,754,29476,379
33.09,37576,5356,111447,3804
6.88,23404,1327,54345,844
10.41,12266,1396,33190,986
68.0,3498,439,37226,385
0.39,30725,5714,90032,5038
2.68,47798,5790,124765,4915
